Project ID,Project Name,Project State,Project Link,Project Category,Project Image,Project Overview,Project Goal Amount,Project Pledged Amount,Project Funded Ratio,Project Country,Project Locality,Project Currency,Project Backers Count,Creator ID,Creator Name,Creator Profile Link,Creator Biography,Creator Joined Date,Creator WebSite 1,Creator WebSite 2,Creator WebSite 3
1301253932,Blue Award 2017 Campaign,failed,https://www.kickstarter.com/projects/39712566/blue-award-2017-campaign,Technology,https://ksr-ugc.imgix.net/assets/015/260/135/3feb2e489b63fca71f59395a31ab170f_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1485191753&auto=format&frame=1&q=92&s=5b569f97edc924a41f5da6616e0b19c7,Many companies do not know how great their contribution to environmental protection can be. That's why we provide an energy forecast ..,6000.0,0.0,0.0,Germany,"Berlin, Germany",EUR (€),0,39712566,Ulrich Boldt,https://www.kickstarter.com/profile/39712566,"Ulrich Boldt
",Jun 2016,http://www.ev-energietech.org,,
1507170822,DirectorsApp - Perfectly Cut Movies in Seconds,failed,https://www.kickstarter.com/projects/1036440776/directorsapp-perfekt-geschnittene-filme-in-sekunde,Apps,https://ksr-ugc.imgix.net/assets/015/304/826/6987fe6d0d662cebdc92e42240173db0_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1485514426&auto=format&frame=1&q=92&s=1647f6426172e90d75bc7d004a8dd1ba,Perfectly cut movies for the clueless. Make everyone want to watch your films and make yourself a great memory. The video template App.,45000.0,0.0,0.0,Germany,"Berlin, Germany",EUR (€),0,1036440776,Gregor Czempiel,https://www.kickstarter.com/profile/1036440776,"Nach dem Abitur nahm ich das Studium der Chemie an der FU  Berlin auf und schloss es mit dem Bachelor of Science ab. Danach verbrachte ich noch weitere Jahre an der FU, diesmal in der Physik, wo ich von da an in einem Forschungsprojekt arbeitete, zur Entwicklung von Wärmeleitlösungen auf Basis von Kohlenstoffnanoröhren. Nach Ende des Projekts gründete ich mein eignes Importunternehmen. Fast zeitgleich nahm ich das Studium der BWL an der FU Berlin auf, mit Vertiefungen
",Dec 2013,,,
539593498,Online platform for soccer transfers in the amateur area,failed,https://www.kickstarter.com/projects/657208747/online-platform-for-soccer-transfers-in-the-amateu,Web,https://ksr-ugc.imgix.net/assets/015/269/100/e1f94088a846f79be996dfe291c3f1b3_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1485257009&auto=format&frame=1&q=92&s=4bd61d77fde7e3842905f41f45f40532,Soccertransfair is a platform on which soccer players can enter their player profile and so can be found specific by clubs woldwide.,20000.0,91.0,0.455,Germany,"Berlin, Germany",EUR (€),3,657208747,Thomas Schleef,https://www.kickstarter.com/profile/657208747,"1988 - 1990 Education as banker at Dresdner Bank
",Jan 2017,http://www.soccertransfair.com,http://www.the-international-soccer-company.com,
767285572,Romanian Cherry G83-6104 / G83-6105 Keyboard,failed,https://www.kickstarter.com/projects/867340824/romanian-cherry-g83-6104-g83-6105-keyboard,Hardware,https://ksr-ugc.imgix.net/assets/014/808/747/61fe852a0fbd9c8f11f8b210e4060d96_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1482139344&auto=format&frame=1&q=92&s=d6e53f04f1904bda14458ec7d21509f1,This project is about creating a Cherry keyboard with the standardized Romanian layout.,5460.0,2093.0,38.333333333333336,Germany,"Erlangen, Germany",EUR (€),45,867340824,Cristian Adam,https://www.kickstarter.com/profile/867340824,Romanian born Software Craftsman living in Germany.,Apr 2016,http://tastatura.info,https://cristianadam.eu,https://www.linkedin.com/in/cristian-adam-1a99b59
1737141475,Better Translation,failed,https://www.kickstarter.com/projects/1308539757/better-translation,Web,https://ksr-ugc.imgix.net/assets/014/935/732/c1a08fb78eaa3550458bd03e8c5b9034_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1482186755&auto=format&frame=1&q=92&s=43786df354730b3b35c4876c133abb05,Everybody has problems when it comes to translating into other languages. With BetterTranslations you will never have a problem again.,25000.0,0.0,0.0,Germany,"Munich, Germany",EUR (€),0,1308539757,Henri Ohlsen (deleted),https://www.kickstarter.com/profile/1308539757,,,,,
885835937,Apple iPhone: Interactive eBook with iPhone OS and 3D model,failed,https://www.kickstarter.com/projects/1221486775/apple-iphone-interactive-ebook-with-iphone-os-and,Apps,https://ksr-ugc.imgix.net/assets/014/944/891/304e319f9b43e9ec1b5680c7f9788aef_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1482262396&auto=format&frame=1&q=92&s=86c4fdba12a7c29b637edb1224859f4d,In this book you will find out everything about the original iPhone. It includes a 3D model and an interactive version of iPhone OS 1.,500.0,0.0,0.0,Germany,"Leipzig, Germany",EUR (€),0,1221486775,Story of i,https://www.kickstarter.com/profile/1221486775,"The author Christoph Kabisch comes from Germany, loves Apple and loves to deal in particular with its history.",Aug 2016,,,
639431224,NOW Sport: Join the new sport community!,failed,https://www.kickstarter.com/projects/1777657268/now-sport-join-the-new-sport-community-app,Apps,https://ksr-ugc.imgix.net/assets/014/944/227/b925c6f29a22f41351eb7f36b7b1eea1_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1483042459&auto=format&frame=1&q=92&s=32e6551acda9973afc03fec973fba095,"Searching for new sport friends, teams or events? Organizing teams or events? Join NOW Sport!",5000.0,642.0,12.839999999999998,Germany,"Giessen, Germany",EUR (€),22,1777657268,NOW Sport UG,https://www.kickstarter.com/profile/1777657268,We are setting new standards in finding new sport partners and doing our biggest passion together.,Dec 2016,http://www.now-sport.de,,
1289011453,Uniserv - BUY/SELL any service using mobile,failed,https://www.kickstarter.com/projects/uniserv/uniserv-buy-sell-any-services-using-mobile,Apps,https://ksr-ugc.imgix.net/assets/014/342/763/46dd5e18d1c72094850ceeed066e8e2e_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1478002752&auto=format&frame=1&q=92&s=e1f3404a9976d897789b951e43cd475d,Uniserv is an online market place for buying/selling any service within few seconds using your mobile,5000000.0,0.0,0.0,Germany,"Dusseldorf, Germany",EUR (€),0,746565456,Shweta Srivastava,https://www.kickstarter.com/profile/uniserv,"I am a simple girl from a small village in India with a BIG dreams. 
",Mar 2014,https://de.linkedin.com/in/sshwetasrivastava,,
1363642528,"Smart Mirror, revolutionised your way to wear clothes",failed,https://www.kickstarter.com/projects/166022769/smart-mirror-revolutionised-your-way-to-wear-cloth,Technology,https://ksr-ugc.imgix.net/assets/015/009/631/716b99b776649179690752b7192896bb_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1482996666&auto=format&frame=1&q=92&s=d94e363bcf090eecde1ca60ec2fc0e6e,"Our Smart Mirror is not only an all in one PC with mirror, but with our innovative Software, revolutionised your way to wear clothes.",250000.0,2.0,0.0007999999999999999,Germany,"Munich, Germany",EUR (€),2,166022769,Claudia Trautzl,https://www.kickstarter.com/profile/166022769,"We are a newly founded consulting company in the field of hardware and software, specializing in HMI industrial systems, digital signage system developments and integrations.",Dec 2016,http://www.bowa-solutions.com,,
672751239,CHEXMA,failed,https://www.kickstarter.com/projects/philippnied/chexma,Web,https://ksr-ugc.imgix.net/assets/014/548/496/de5182ce86929ff344cd25d8c1f6f5fd_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1479840787&auto=format&frame=1&q=92&s=56260238ba9f6c73dfdb20287b6b2125,CHEXMA – deine persönliches Empfehlungs-Community für Dienstleister aller Art. Bewerte Unternehmen und empfehle sie deinen Freunden.,7500.0,14.0,0.18666666666666668,Germany,"Frankfurt, Germany",EUR (€),2,313784233,Philipp Nied,https://www.kickstarter.com/profile/philippnied,"Ich heiße Philipp, bin 19 Jahre alt und lebe  in einem kleinen dorf nahe Frankfurt. ",Nov 2016,https://www.facebook.com/CHEXMA-1204990556232152/?fref=ts,https://www.facebook.com/philipp.nied.5,
2019550679,IPSE - Intelligent Photo Search Engine,failed,https://www.kickstarter.com/projects/rokketstudio/ipse-intelligent-photo-search-engine,Software,https://ksr-ugc.imgix.net/assets/014/041/289/bca9c0265b2e9e0bdfd212581661bdfd_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1476030839&auto=format&frame=1&q=92&s=cfaca03bc6f5dd8cd3f5f959c6a54d8d,"Die IPSE („intelligente Suchmaschine durch Fotos“) ist eine Suchengine der aktuellsten Generation, die uns das Leben erleichtert.",20000.0,11.0,0.055,Germany,"Berlin, Germany",EUR (€),2,628378875,RokketStudio (deleted),https://www.kickstarter.com/profile/rokketstudio,,,,,
1542977417,Music-Streaming VR,failed,https://www.kickstarter.com/projects/1670138722/music-streaming-vr,Apps,https://ksr-ugc.imgix.net/assets/014/009/658/88ee71cd7f24df1f9a97ca9988642867_original.jpg?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1481517293&auto=format&frame=1&q=92&s=ca63c7eca2f3d65915b3aefc64e650b6,"STREEFI Music-Streaming  4K Virtual Reality
150 million songs & Music- Video 
1,99€ - 2,10$",50000.0,0.0,0.0,Germany,"Berlin, Germany",EUR (€),0,1670138722,STREEFI,https://www.kickstarter.com/profile/1670138722,"Mein Name ist Redoine Hamarlain. Ich interessiere mich schon von Kind an für Musik und Kunst und habe früh angefangen zu zeichnen. Im Alter von 15 Jahren erhielt ich meinen ersten PC und begann mich intensiv mit Grafikdesign zu beschäftigen. Ich habe meine Kenntnisse professionalisiert und mich in die Programme Photoshop, After Effekts, FL Studio, Vegas pro und Cinema 4D und vieles mehr eingearbeitet. Heute arbeite ich an Instrumental Beats und digitalem Graphikdesign und arbeite mit Musikern aus ganz Deutschland zusammen. Inzwischen habe ich mir ein großes Netzwerk mit Musikern und Produzenten innerhalb Deutschlands aufgebaut und mir einen Namen erworben. Musiker kommen auf mich zu. Ich erstellte Covers für ihre CDs sowie Instrumentale Beats und Musik Videos. Bisher habe ich diese Leistungen kostenfrei erbracht.",Oct 2016,,,
917219915,neomo - Network of Moms,failed,https://www.kickstarter.com/projects/200530704/neomo-network-of-moms,Apps,https://ksr-ugc.imgix.net/assets/015/033/588/142d4305d8fab132efb2b43b42555499_original.png?ixlib=rb-2.1.0&crop=faces&w=560&h=315&fit=crop&v=1483298879&auto=format&frame=1&q=92&s=13db7214ffe21dcdbf7c74587ceaa818,"Bringing moms together and help them to share their experiences, make new contacts and meet new friends and other moms in their area.",50000.0,15.0,0.03,Germany,"Cologne, Germany",EUR (€),1,200530704,Büşra Tunç,https://www.kickstarter.com/profile/200530704,"I love the idea of working in the digital media industries and create something that will be of service to other people. 
",Jan 2017,,,
